#NAMES,GSM34397,GSM34402,GSM34393,GSM34383,GSM34391,GSM34395,GSM34400,GSM34388,GSM34398,GSM34385,GSM34401,GSM34399,GSM34379,GSM34394,GSM34396
31692_at,9.6869,10.79339,9.73917,12.11785,12.05788,10.38388,10.01698,11.12388,9.62581,12.2289,9.79912,9.91696,11.52312,9.50342,10.28084
34105_f_at,10.35549,12.22564,12.26934,10.00387,9.00916,12.67675,13.24582,9.27162,12.92125,9.41236,13.15742,13.13457,9.53457,11.86925,13.22342
34162_at,9.10939,8.73027,8.90897,10.1403,10.76084,8.91062,9.38,9.78083,9.26994,10.52064,9.14476,9.31234,10.02801,9.26909,9.35084
34637_f_at,10.47179,9.95033,10.56364,12.51879,11.96104,10.38415,10.02764,12.24498,9.92358,13.14358,9.93007,10.28743,12.24506,11.03637,10.52511
36390_at,9.1191,8.88255,8.76777,8.42261,8.54454,9.00039,8.91934,8.54798,9.02781,8.29931,8.9133,8.81274,8.61884,8.96001,8.83565
34987_s_at,9.20823,9.47614,9.07158,10.37918,10.69793,9.87047,9.70761,10.43987,8.92145,10.93961,9.79784,9.32177,10.31105,9.2709,9.09981
36224_g_at,9.10045,9.52423,9.4932,10.48724,10.99143,9.81204,9.59038,10.43229,9.50733,10.71691,9.28519,9.25136,10.40962,9.26231,9.02116
36247_f_at,9.6117,8.96614,9.61658,10.59907,10.47036,9.53212,9.2147,10.342,9.3386,11.21213,9.09225,9.60045,10.87057,9.90375,9.55747
36733_at,8.21969,7.44969,7.8868,9.26731,9.72869,7.99021,7.84267,8.58158,8.09292,9.27175,7.87844,7.80847,9.224,8.44005,8.42117
37157_at,9.12481,8.20817,8.59991,9.94042,9.92529,8.80576,8.47892,9.49792,8.53568,10.05252,8.44045,8.63345,9.29175,8.9089,8.95011
37513_at,7.65944,7.5225,7.56029,10.98015,9.7692,7.74869,7.69714,9.51589,7.689,10.04022,7.56365,7.51561,9.68472,8.09317,7.99407
37864_s_at,12.69536,14.24342,14.26353,10.913,10.65179,14.48968,14.70863,9.66735,14.70933,9.93064,14.70398,14.67157,9.5335,13.95369,14.70346
38194_s_at,12.7143,14.09257,14.06683,11.42197,10.57445,14.20573,14.61763,9.45598,14.5736,10.24794,14.43326,14.63453,9.23021,13.76856,14.40037
40403_at,8.12602,8.03679,8.51301,9.14558,10.38948,8.15032,8.14363,9.50087,8.67444,9.42866,8.26151,8.08748,10.09098,8.89898,8.48497
41609_at,13.38035,13.99058,13.2667,12.45939,11.2919,13.4994,13.63716,12.40041,13.30046,12.53971,13.72571,13.4938,12.5258,13.25887,13.28306
41717_at,10.21432,9.77193,10.18492,11.06616,10.65883,10.13256,10.30208,10.57253,10.30116,11.17557,10.21871,9.96675,11.3702,10.08653,10.30208
41718_g_at,10.68152,9.92065,10.10499,11.90809,11.86635,10.20446,10.48533,11.42538,10.16927,12.08277,10.23588,10.19283,11.79326,10.59957,10.63035
41719_i_at,8.19888,7.90667,8.8129,10.1256,10.19763,8.11615,8.43152,9.83267,8.76388,10.19008,8.01333,8.11972,10.25413,8.6117,8.28296
41720_r_at,9.19938,8.94464,9.60298,10.37597,10.46503,9.45772,9.24223,10.15895,9.6799,10.3985,9.19912,9.17491,10.6826,9.31639,9.26806
31855_at,10.98363,10.70552,10.45633,11.55433,12.30128,10.97132,10.28231,11.99512,11.08982,11.66634,10.65103,11.08613,11.89779,11.10374,10.88359
32135_at,11.94525,11.55183,12.02025,12.54708,12.88601,11.61101,11.77402,12.36121,12.18657,12.65046,11.68802,11.80368,12.701,12.001,11.88916
33253_at,10.875,10.9816,10.32106,8.74897,8.85069,10.31757,10.23403,9.27157,10.22602,8.78767,9.57525,10.45664,8.99178,10.55055,10.07937
33273_f_at,11.90628,14.275,13.59356,11.70536,9.59823,14.51875,14.8716,9.51068,14.74974,9.99678,14.69441,14.67157,10.06765,13.20677,14.79448
33274_f_at,11.91263,14.31322,13.62289,11.51887,9.38384,14.56384,14.90268,9.53777,14.82232,10.10906,14.70395,14.67157,10.01872,13.1212,14.83675
34210_at,11.26929,11.25389,10.24973,8.84223,8.46679,10.83243,11.71105,8.96907,10.61662,8.92164,10.98976,11.58586,9.44865,10.0053,10.87056
34268_at,10.75913,11.06701,10.64198,9.96594,9.76313,10.68732,10.74264,10.09444,10.7012,9.96946,10.64547,10.93153,10.18343,10.80548,10.68097
35632_at,9.55616,9.55451,9.12201,10.53034,10.52887,9.13797,9.2021,10.27568,8.81596,9.89434,9.44882,9.23304,9.82304,9.25934,9.36252
35649_at,9.53983,8.67699,9.82087,11.45493,10.63898,9.3023,8.56345,10.40165,8.96435,11.22151,8.84957,9.62899,10.89078,9.8551,9.11875
35730_at,7.54132,6.73686,7.48815,10.19926,11.14371,7.45526,6.95809,10.45946,7.18678,10.84045,6.84192,7.30493,9.12696,8.12727,7.61571
37591_at,12.53669,13.20161,12.56255,11.84315,11.40146,12.3828,12.7993,12.02167,12.65858,11.5054,12.65672,12.73076,11.9276,12.58188,12.40881
37967_at,12.98599,12.66368,12.45172,11.79244,11.74858,13.01184,12.70542,12.13081,12.4368,12.02571,12.60124,12.43262,11.98298,12.45674,12.63439
37983_at,8.83114,7.88888,9.16758,10.43759,10.28974,8.75339,7.98057,9.98853,8.50344,10.61073,8.38452,9.09226,10.43213,9.4649,8.89995
38316_at,9.03918,8.53579,8.79693,9.35289,9.71464,8.89462,8.96785,9.28696,8.72509,9.38035,8.85952,8.86613,9.47871,8.97662,8.98452
38994_at,7.2739,7.24868,7.43878,7.73629,7.67071,7.57384,7.24929,8.16701,7.38266,7.87968,7.09163,7.1793,7.96226,7.20967,7.20283
38995_at,11.24305,11.07866,11.03152,12.13912,12.51908,11.00651,11.11608,12.28459,11.54555,11.40411,10.99055,10.88469,12.07837,11.09582,11.28165
39372_at,9.74099,8.84482,9.89978,11.25188,10.77452,9.19075,9.53519,10.81968,9.5901,11.29257,9.2955,9.523,11.37379,9.99499,9.49673
39373_at,7.53045,6.95866,7.34813,8.60079,8.96237,7.08359,7.23801,8.69301,7.22222,8.56209,7.15509,7.05045,8.14691,7.34131,7.34684
40091_at,9.62439,9.72575,9.67248,11.31856,11.36538,9.27385,9.44047,10.97544,9.35369,10.80952,9.78276,9.56756,11.04895,9.9285,9.65247
41164_at,11.17229,12.92578,13.81057,10.78298,9.96828,14.51619,14.89752,9.55412,14.36862,9.88758,14.7458,14.21693,10.10039,12.84581,13.85404
41235_at,11.57921,11.77734,11.98408,12.79388,12.98781,12.20974,11.87288,12.33486,12.02507,12.78901,12.18006,11.63177,12.76029,11.5855,11.70785
41770_at,7.54577,6.46415,7.5055,8.85,9.3532,7.38655,6.65222,9.44281,7.16887,9.48935,6.78963,7.12182,8.40061,7.85624,7.53594
41771_g_at,10.5637,8.63399,10.31781,12.19448,12.99539,10.57305,8.96789,12.78834,9.37161,12.93547,9.1047,9.92093,11.68007,10.92351,10.55996
41772_at,8.35445,6.68864,7.90902,10.25711,10.68463,8.44056,6.90482,10.71188,7.02276,10.86979,7.01069,7.74654,9.76352,8.87801,8.48018
32827_at,7.53209,7.64871,7.7022,8.01407,8.50161,7.52562,7.55996,8.49757,7.31193,8.62229,7.52429,7.6058,7.93604,7.8041,7.6597
33825_at,9.85466,9.71809,9.90097,11.0765,12.04031,9.89015,9.24975,11.44286,10.21097,10.9819,9.31089,9.81934,10.71917,10.02658,10.12478
